questionText,trlLevel,technologyType,category
BMC is enhanced based on result of Market Research,5,Fertilizer and Pesticide,Market and Commercialization Status
Product improved from laboratory formulation  ,5,Fertilizer and Pesticide,Technology Status
Agreements with industry parters for product testing secured,5,Fertilizer and Pesticide,Industry Adoption Status
Manual of production created and tested at pilot scale,5,Fertilizer and Pesticide,Technology Status
IP Valuation is conducted,6,Fertilizer and Pesticide,Intellectual Property Status
Technology Licensing Terms negotiated,6,Fertilizer and Pesticide,Industry Adoption Status
Initial market tests conducted (e.g.; demonstration to farmers or distributors),6,Fertilizer and Pesticide,Market and Commercialization Status
Business Plan crafted,6,Fertilizer and Pesticide,Market and Commercialization Status
First industry-scale production completed,6,Fertilizer and Pesticide,Technology Status
Processing of FPA registration and environmental compliance,7,Fertilizer and Pesticide,Regulatory Compliance Status
Successful validation of industry-scale production ,7,Fertilizer and Pesticide,Technology Status
Standardized manual for industry-scale production established,7,Fertilizer and Pesticide,Technology Status
Technology Commercialization Plan prepared,6,Fertilizer and Pesticide,Market and Commercialization Status
Fairness Opinion Review requested,8,Fertilizer and Pesticide,Market and Commercialization Status
FPA Registered,8,Fertilizer and Pesticide,Regulatory Compliance Status
Product ready for full-scale commercial production (replicable without error),8,Fertilizer and Pesticide,Technology Status
Technology Licensing Agreement is signed,9,Fertilizer and Pesticide,Industry Adoption Status
Technology fully commercialized/Product commercially available to target users,9,Fertilizer and Pesticide,Market and Commercialization Status
Concept development completed,1,"Food, Food Ingredients and Beverages",Market and Commercialization Status
Potential users or target beneficiaries identified,1,"Food, Food Ingredients and Beverages",Technology Status
Initial assessment on the potential user,2,"Food, Food Ingredients and Beverages",Market and Commercialization Status
First prototype/formulation created for sensory analysis,2,"Food, Food Ingredients and Beverages",Technology Status
Internal/preliminary sensory screening conducted,2,"Food, Food Ingredients and Beverages",Technology Status
Internal/preliminary sensory screening conducted,2,"Food, Food Ingredients and Beverages",Technology Status
Invention disclosure submitted for IP application,3,"Food, Food Ingredients and Beverages",Intellectual Property Status
Accomplished Initial Business Model Canvas,3,"Food, Food Ingredients and Beverages",Market and Commercialization Status
Optimized formulation for highest sensory acceptability ,3,"Food, Food Ingredients and Beverages",Technology Status
Meeting with potential industry partner,4,"Food, Food Ingredients and Beverages",Industry Adoption Status
Market Research is conducted,4,"Food, Food Ingredients and Beverages",Market and Commercialization Status
Allergen profiling/screening conducted,4,"Food, Food Ingredients and Beverages",Technology Status
IP filed,4,"Food, Food Ingredients and Beverages",Intellectual Property Status
Shelf-life established under laboratory conditions,4,"Food, Food Ingredients and Beverages",Technology Status
Proximate analysis conducted to assess chemical properties,4,"Food, Food Ingredients and Beverages",Technology Status
Product validated through target consumer sensory testing,4,"Food, Food Ingredients and Beverages",Technology Status
BMC enhanced based on market research,5,"Food, Food Ingredients and Beverages",Market and Commercialization Status
Product displayed at trade fairs,5,"Food, Food Ingredients and Beverages",Market and Commercialization Status
Agreements with industry parters for product testing secured,5,"Food, Food Ingredients and Beverages",Industry Adoption Status
Product scaled-up to pilot production,5,"Food, Food Ingredients and Beverages",Technology Status
Manual of production created based on pilot production,5,"Food, Food Ingredients and Beverages",Technology Status
Technology Licensing Terms negotiated,6,"Food, Food Ingredients and Beverages",Market and Commercialization Status
Technology Licensing Terms negotiated,6,"Food, Food Ingredients and Beverages",Industry Adoption Status
"Initial market tests conducted (trade shows, limited release)",6,"Food, Food Ingredients and Beverages",Market and Commercialization Status
IP Valuation conducted,6,"Food, Food Ingredients and Beverages",Intellectual Property Status
First industry-scale production completed,6,"Food, Food Ingredients and Beverages",Technology Status
Successful validation of industry-scale production ,7,"Food, Food Ingredients and Beverages",Technology Status
Technology Commercialization Plan prepared,6,"Food, Food Ingredients and Beverages",Market and Commercialization Status
Standardized manual for industry-scale production established,7,"Food, Food Ingredients and Beverages",Technology Status
FDA requierments submitted,7,"Food, Food Ingredients and Beverages",Regulatory Compliance Status
FDA or BFAD Approval obtained,8,"Food, Food Ingredients and Beverages",Regulatory Compliance Status
HACCP/HALAL Certifiedif Necessary,8,"Food, Food Ingredients and Beverages",Regulatory Compliance Status
Fairness Opinion Review requested,8,"Food, Food Ingredients and Beverages",Market and Commercialization Status
Product ready for full-scale commercial production (replicable without error),8,"Food, Food Ingredients and Beverages",Technology Status
Technology Licensing Agreement is signed,9,"Food, Food Ingredients and Beverages",Industry Adoption Status
Technology fully commercialized/Product commercially available to consumers,9,"Food, Food Ingredients and Beverages",Market and Commercialization Status
Concept development completed,1,ICT (Apps and System involving IoT),Technology Status
Potential user identified,1,ICT (Apps and System involving IoT),Market and Commercialization Status
System design formulated,2,ICT (Apps and System involving IoT),Technology Status
Initial coding completed,2,ICT (Apps and System involving IoT),Technology Status
Initial assessment of potential user requirements and usability,2,ICT (Apps and System involving IoT),Market and Commercialization Status
Working system/application developed (integrated prototype),3,ICT (Apps and System involving IoT),Technology Status
Invention disclosure submitted for IP application,3,ICT (Apps and System involving IoT),Intellectual Property Status
Initial Business Model Canvas (BMC) developed,3,ICT (Apps and System involving IoT),Market and Commercialization Status
Source code completed,3,ICT (Apps and System involving IoT),Technology Status
Meeting with potential industry partner,4,ICT (Apps and System involving IoT),Industry Adoption Status
Market Research is conducted,4,ICT (Apps and System involving IoT),Market and Commercialization Status
IP filed,4,ICT (Apps and System involving IoT),Intellectual Property Status
Alpha testing successfully conducted,4,ICT (Apps and System involving IoT),Technology Status
"User feedback incorporated to improve system usability, reliability, and performance",5,ICT (Apps and System involving IoT),Market and Commercialization Status
Agreements with industry/partners for pilot deployment secured,5,ICT (Apps and System involving IoT),Industry Adoption Status
Beta testing successfully conducted with select external users,5,ICT (Apps and System involving IoT),Technology Status
Guide/manual for system use created,5,ICT (Apps and System involving IoT),Technology Status
Business Model Canvas updated based on feedback and market research,5,ICT (Apps and System involving IoT),Market and Commercialization Status
Business Plan crafted,6,ICT (Apps and System involving IoT),Market and Commercialization Status
Technology Licensing Terms negotiated,6,ICT (Apps and System involving IoT),Industry Adoption Status
IP  valuation is conducted,6,ICT (Apps and System involving IoT),Intellectual Property Status
Core system stable in limited commercial operations,6,ICT (Apps and System involving IoT),Market and Commercialization Status
System/application deployed for initial industry use,6,ICT (Apps and System involving IoT),Technology Status
Created the Technology Commercialization Plan,6,ICT (Apps and System involving IoT),Market and Commercialization Status
Scalable architecture validated under real-world usage,7,ICT (Apps and System involving IoT),Industry Adoption Status
"Processing of documents for industry and government compliance (data privacy, cybersecurity, ICT regulations)",7,ICT (Apps and System involving IoT),Regulatory Compliance Status
System stable in industry-scale operations,7,ICT (Apps and System involving IoT),Technology Status
System/application ready for full-scale commercial operation (replicable without error,8,ICT (Apps and System involving IoT),Technology Status
"Compliance with data privacy, cybersecurity, and ICT regulatory requirements achieved",8,ICT (Apps and System involving IoT),Regulatory Compliance Status
Fairness Opinion Review requested,8,ICT (Apps and System involving IoT),Market and Commercialization Status
Technology Licensing Agreement is signed,9,ICT (Apps and System involving IoT),Industry Adoption Status
System/application fully commercialized and available to target users,9,ICT (Apps and System involving IoT),Market and Commercialization Status
